Asia-Afrika	아시아-아프리카
belengset [beléngset]	(아래 눈까풀이)돌돌 말린
belentung	개구리의 일종
belera [beléra]	직조기의 부목(얇은 판자)
belerang [belérang]	유황
membelerang	유황으로 처리하다, 그을리다, 훈증하다
belerong	시장 안에 있는 창고
beleter [beléter]	지껄이다, 재잘거리다
Belgia	벨기에 (수도:
beli	구입, 구매
belian	상품, 사들인 것, 구입품
berbeli-belian, berjua-beli	서로 사고 팔다, 장보다, 쇼핑하다
membeli	사다, 구입하다
membelikan	(~에게)사 주다, 사서 주다
membeli sandang	~에게 옷을 주다(입히다)
pembeli	구입자, 구매자, 바이어
pembelian	사들임, 구입, 매입
terbeli	팔려고 내놓은, 구매된, 뇌물을 받은
belia	젊은, 어린, 연소한
beliak, membeliakkan	(눈 따위를)크게 뜨다
terbeliak	(눈을)크게 뜬, 활짝 연
belian [1]	샤만, 무당, 마법사
belian [2]	(재질이 단단한) 나무의 일종
beliau	그 분, 그 이 (3인칭 존칭어)
Menlu tidak dapat datang, Beliau sakit	(외무부장관은 올 수 없었다, 그분은 아팠다)
beliau-beliau	그분들, 그들
belibis	물오리, 검둥오리의 무리
belibis sbg pemancing ikan gabus	곤들배기를 잡고 있는 물오리
belida	바다 불고기의 일종
beligo	호리병에 담겨 있는 양초
belik	주석
belikat, tulang belikat	어깨뼈, 견갑골
beliku, liku	굽은, 휜
belimbing, asom jorbing, balireng	별모양의 긴 과일
belincing	곡괭이(로 파다)
beling	자기(磁器), 유리, 도자기의 파편
belingkang, terbelingkang	손발을 쭉 뻗은, 큰 대자로 드러누운
Ia jatuh terbelingkang	(그는 큰댓자로 넘어졌다)
belinjo, melinjo	열매는 음삥으로 만듬
belinjo	탄알, 권총탄, 소총(기관총)탄
belintang, berbelintangan	가로 질러 눕다, 길게 눕다
membelintangkan	가로 질러 놓다, 가로 질러 눕히다
belisah, gelisah	불안한
belit, lilit	코일, 꼬인, 감긴, 휜
berbelit-belit	꼬불꼬불한, 복잡한
membelit	비뚤어지다, 구부러지다, 곡선을 그리다, 감싸다
membeliti	~에 매다, 감다
membelitkan	~을 둘러싸다, ~에 휘감기다, 감다
terbelit	감겨 진
belitung [1]	달팽이의 일종
belitung [2]	군도(群島), 섬 많은 바다
beliung	도끼, 손도끼
beliut, liut	(칼 따위가)휘다, 뒤틀리다
belodok [1]	(눈 따위가)돌출한, 튀어 나온
belodok [2]	[어류] 문절망둑
belok [bélok]	곡선, 구비
belok kanan/kiri	좌회전/우회전
belokan	구부러진 각(角)
berbelok, membelok	돌다, 회전하다
berbelok-belok	굴곡이 있는, 구부러진
dilarang berbelok ke kanan	우회전금지
membelok	돌리다, 회전시키다
membelok ke kanan (kiri)	우(좌)회전하다
membelokkan	돌리다, 회전 시키다
pembelokan	굴곡, 곡선, 구부러짐, 비틂, 꼬임
belok [1]	진흙창의, 질퍽한
belok [2]	(눈이)크고 휘둥그런
belok [3]	큰 틈, (죄수용)족쇄, 감옥
membelok	차꼬(족쇄)를 채우다
pembelokan	감옥
belongkang	거룻배
belongkeng [bélongkéng]	식용 달팽이
belongsong	싸는 사람,포장지, (잡지·신문의) 봉(封)띠, 띠지
belontok	[어류] 큰 문절망둑
belot [bélot], pembelot	배반자, 도망자, 공법자, 연루자
membelot	배반하다, 적진으로 도망하다
pembelotan	도망, 탈당, 탈주, 탈함(脫艦)
belu-belai	꼬꼬(꽥꽥) 소리를 내는, 감언이설
belubur	헛간, 곳간, 창고
beludak [1]	(화산 따위의) 폭발, (감정 따위의) 격발
membeludak	폭발시키다, 파열시키다
beludak [2], ular beludak	북 살모사, 독이 있는 뱀
beludar	과자의 일종
beludru	벨벳, 우단, 면비로드
beluk	사항, 항목, 세부
belukang	담수어의 일종
belukap	홍수림
belukar, semak	수풀, 덤불, 총림
membelukari	~에 만연[무성]하다,(다른 식물을) 살지 못하게 할 만큼 무성해지다overgrow
beluku	쟁기
bintang beluku	오리온 좌
belulang	단단한 껍질, 마른 껍질
bebelulang	굳다, 굳어지다
membelulang	∼하게 하다[되다]
beluluk	야자 열매(완전히 굳지 않은 어린)
belum, blm	아직~하지 않은
sebelum	이전에, ~하기 전에
sebelum masehi	기원전
sebelum melahirkan	태어나기 전의
sebelum waktunya	너무 이른, 때 아닌, 시기 상조의
sebelumnya	사전에, 먼저, 미리, 그 이전에
belukang	야자 잎사귀의 아래 끝 부분
belunjur, unjur	발을 뻗다
beluntas	관목의 일종, 치자나무(울타리용, 잎은 식용으로 쓰임)
belur [1], balur	크리스털
belur [2], babak	얻어 맞아 시퍼렇게 멍이 든
beluru, akar beluru	덩굴 식물(열대산 칡의 일종)
belus [1]	헐거운, 느슨한, 느즈러진
belus [2]	블라우스, 작업복, 덧옷
belut	뱀장어
bembam, membambam	(뜨거운 재 따위에) 굽다
bemban [1]	관목의 일종
bemban [2]	손 그물
bemban [3], ikan bemban	담수어의 일종
bembar [bémbar]	연단, 설교단, 교단
bemo [bémo]	모터로 가는 베짝
bemper [bémpér]	범퍼
bena [1]	조수(潮水)
air bena	만조, 밀물
bena [2], membenakan	치우다, 일소하다, 정리하다, 정돈하다
bena [béna]	특별하게, 매우, 주의, 조심
membenakan	관심을 갖다, 좋아하다
benah [1], bena	정리(정돈)하다
benah-benah	준비를 갖추다
berbenah	정리하다, 정돈하다, 준비하다
membenahi	(잠자리 따위를)준비하다
pembenahan	수리, 수선, 회복, 복구
benah [2]	(식물의)병원체, 박테리아
benak	뇌수, 골, 두뇌
berbenak	영리한, 지적인
benalu	기생식물, 식객
membenalu	기생하다
pembenaluan	기식자, 식객
benam, berbenam	사라지다, 숨다, 오랫동안 보이지 않다
membenam	가라앉히다, 침몰시키다, 격침시키다
membenamkan	물에 빠뜨리다, 가라 앉히다
terbenam	사라지다, 지다, 파묻힌, 묻힌
benang	실, 피륙 짜는 실
membenang	끝없는, 지루하게 긴, 실의, 끈의
sebenang	약간의
benar	올바른, 진실의, 사실은, 매우
benar-benar	정말로, 진심으로
berbenar(-benar)	솔직히 말하다, 성실한, 진실한
dinihari, pagi-pagi benar	이른 새벽(3-5시경), 여명, 새벽, 동틀 녘
kebenaran	의로움, 단정, 진실, 진리
membenar(-benar)	(꼭) 맞추다, 조정하다(표준·요구 따위에), (옷의) 치수에 맞추다adjust
membenar-benari	진실하게 하다, 진지하게 행동하다
membenari	구슬리다, 달래다, 충고하다
membenarkan	바로잡다, 고치다
pembenar	교정(校正)자, 조정제, 중화제
pembenaran	정정, 확인, 확정, 승인, 찬성
sebenarnya	사실은, 실제에 있어서는
benara [1], penatu	세탁부
pembenara	세탁하다, 빨래하다
benara [2]	회교 사원의 뾰쪽한 탑
bencah	습지, 늪지대, 늪지, 진창
berbencah(-bencah)	수렁 같은, 진창의
bencana	재앙, 재난, 큰 재해, 파멸
kebencanaan	운명, 숙명, 불운
membencanai	방해하다, 혼란 시키다
membencanakan	위태롭게 하다, 위험에 빠뜨리다
bencang [béncang]	토의, 논의
bencar, pencar	사방에 퍼뜨리다
bencarung	꾀꼬리의 일종, 찌르레깃과(科)의 작은 새
bencat	(성장이)중지된, 막힌
benci	싫어하다, 미워하다
kebencian	싫어함, 미워함, 반감, 혐오
kebenci-bencian	복수심이 있는, 원한을 품은
membenci(I)	미워하다, 싫어하다, 경멸하다
membencikan	지겨워 하다, 혐오[증오]하다
pembenci	미워하는 사람, 싫어하는 사람
bencong	이성의 복장을 입는 성도착자
benda	물건, 물체, 물품, 재료
benda angkasa	천체
berbenda	부유한, 풍족한, 넉넉한, 유복한
kebendaan	물체, 물질, 물질주의
membendakan	상품화 하다, 물건으로 만들다
perbendaan	상품의 공급, 상품에 관한 일, 재고의
pembendaan	객관화, 구체화
bendahara, kasir, bendara	회계원, 출납원
kantor pusat perbendaharaan	재무부 출납국
perbendaharaan	국고, 기금, 자금, 연보괘, 설비
perbendaharaan negara	국가 재정, 국고
bendaharawan, bendahari	회계원, 출납관
bendali	기생식물
bendang	논
bendar	항구
bendara, bendharawan	회계원, 출납원
bendawi, bendawiah	물질의, 물질에 관한, 육체상의(적인)
bende [bendé], bundel	심벌(악기의 일종)
bendel [béndél]	속(束), 묶음, 문서, 서류
membendel	서류(또는 책)를 묶다
bendela	짐짝, 화물
bender [béndér]	(책의) 바인더
bendera [bendéra], panji-panji	기(旗)
bendera kebangsaan	국기(國旗)
Bendera Merah Putih	인도네시아 국기(적백기)
bendera setengah tiang	조기(弔旗)
bendera-bendera dr semua	bangsa만국기
di bawah bendera	~의 보호 아래
membenderai	기로 장식하다
tukang bendera	(축구의) 선심(線審)
benderang [1]	염소의 털로 장식된 창(槍)
benderang [2]	빛나는, 대단히 밝은
kota terang benderang, dugem	불야성
benderung	두 건물 사이의 공간
bendi [béndi ]	바퀴가 두 개 달린 마차
bendo, parang	칼, 톱
bendosa	영구대(靈柩臺), 무개(無蓋)의 영구차
bendiok	터번, 머리를 감싸는 천
bendul	대들보
bendung, bendungan, tambak	둑, 제방, 댐
membendung	둑을 쌓다, 막다
membendungi	댐을 쌓다, 댐으로 만들다
pembendung	산울타리, 장벽, 장애
pembendungan	관개용 저수지
terbendung	저항할 수 있는
bener, benar	옳은
bengah	자만심이 강한, 잘난 체 하는
kebengahan	아는 체함
bengal [1]	기절하다, 정신을 잃다
bengal [2]	완고한, 고집 센, 건방진
kebengalan	완고, 고집, 짧고 억센(털 따위)
bengang [1], terbengang	입이 딱 벌어진, 입을 크게 벌리는
bengang [2], tercengang bengang	갈피를 못 잡는, 어리둥절 하는
bengang [3]	귀가 울리는
bengang [4]	임질의, 임질균
bengap	(소리가)둔탁한, 주저하는 망설이는
bengawan, sungai, kali	강(江)
bengek [1][bengék], bengik	천식, 천식의, 천식환자
bengek [2][bengék], tetek bengek	쓸데없는 짓들, 하찮은 것들
bengek [3][bengék]	유두(乳頭), 젖꼭지
benggal-benggil	혹 투성이, 울퉁불퉁한
benggil [1]	부은, 부어 오른
benggil [2]	카사바 녹말(전분)
benggol [1][bénggol]	2센트짜리 동전
benggolan	범죄단체의 두목, 주범
benggol [2][bénggol]	~에 부딪다, ~와 충돌하다
bengis	잔인한, 잔혹한, 날카로운, 엄격함
kebengisan	엄격, 가혹, 잔인
membengis(i)	~에게 화를 내다
bengkak	부은, 부푼, 종창, 종기
bengkak bernanah	종기, 농양(膿瘍)(을 형성하다)
bengkak di ujung ibu jari kaki	엄지발가락 안쪽의 염증(활액낭(滑液囊)의 염증)
bengkak mata	눈이 부었다
bengkak-bengkil	부수럼이 많은, 혹 투성이의
membengkak	부풀다, 부어 어르다
pembengkakan	증대, 팽창, 신장, 확장, 확대
bengkal [1], kebengkalan	질식하다
bengkal [2]	부스럼이 많은, 혹 투성이의
bengkalai, membengkalaikan	(일을)중도에서 그만두다
terbengkalai	끝나지 않은, 중도에서 그친
bengkang-bengkang	비비 꼬인, 구부러진, (길이)구불구불한
bengkap [béngkap]	(야구의)정강이 받이, 각반(脚絆)
bengkar membengkar	열다, 부풀다, 넓히다, 확장(확대)하다
bengkarak	해골, 골격, 뼈대
bengkarung	열대산 도마뱀의 일종
bengkawan	타일 잡장(지붕,벽 속에 엮는 나무)
bengkawang	[식물] 고비
bengkayang	질리는, 물린, 실컷 먹이다
bengkel [béngkél ]	수선소, 수리소, 작업장
bengkel kerja sastra	문학 연수회
bengkel mobil	자동차 수리소, 정비소
kebengkelan	수리소 작업
bengkelai	(맞붙잡고)싸우다, 난투하다
bengkeng [béngkéng]	격하기 쉬운, 흥분성의, 성미 급한
membengkengi	지분거리다, 집적거리다
bengkok	급여 대신 마을 관리에게 주는 땅
bengkok [béngkok]	꼬부라진, 굽은
membengkok	돌리다, 구부러지다
membengkok-bengkok	~을 주름[골]지게 하다, ~을 물결 모양으로 만들다corrugate
membengkokkan	구부리다, 몸을 구부리다
pembengkokan	굽음, 굽은 곳, 굴곡[만곡](부)
bengkol [béngkol]	구부러진, 휜
bengkong [1][béngkong]	구부러진, 비뚤어진
bengkong [2][béngkong]	할례를 행하는 사람
bengkos, membengkos	헐떡거리다, 숨이 차다 (놀람 따위로)
bengku	나무의 일종(열매로 기름을 짜는)
bengkuang	콩과 식물의 일종(달고 시원해서 무와 배를 섞은 맛)
bengkudu, mengkudu	나무의 일종(약재로 사용 됨
bengkung [1]	구부러진, 휜
membengkungkan	구부리다, 휘다
bengkung [2]	복부의 띠(복대)
bengok [1]	부레옥잠(잎은 육질이고 잎자루가 물고기의 부레처럼 물에 뜬다)
bengok [2]	낙담한, 낙심한, 슬픈
bengok [3]	갑상선종(甲狀腺腫), 종기, 혹
bengong	어찌할 바를 모르는, 당황한, 난처한
bengot [béngot]	경사진, 기운, 물매 진, 비탈진
bengu	악취(가 나는), 공기가 탁한
benguk	낙담한, 낙심하는 슬픈, 부루퉁한
bengul	(울어서 눈이) 부은, 눈이 벌개진
benian	작은 상자, 함(보석을 넣는)
benih	씨앗, 종자, 세균
membenihkan	싹트다, 발아하다
pembenihan	묘상, 세균 배양소, 발아물(物), 발아시키는 사람
bening	맑은, 깨끗한, 투명한
kebeningan	맑음, 밝음, 분명함, 명료, 명확
membeningkan	정화하다, 정수하다
pembeningan	세정(洗淨), 재계(齋戒), 성작(聖爵)의 정화
benjal-benjol, jalan batu-batu	자갈 밭 길
benjol [bénjol], jendul	혹, 부스럼
benkap [bénkap]	정강이 받이, 각반
bensin [bénsin], premium	휘발유, 가솔린
bensin [bénsin]	휘발유(고옥탄)
benta	(입술이)부르트다
bentak, membentak	꾸짖다, 나무라다
bentakan	호통, 딱딱거림
bentala	지구, 세계
bentan	다시 나쁜 길로 빠지다, (병이) 재발하다
bentang, membentang	(말은 것을) 펼치다
bentangan	펼쳐 진 물건
bentangan langit	창공, 하늘
membentang-beberkan	펼치다, 설명하다, 나타내다
membentangkan	펼치다, 펴다, 설명하다
pembentangan	박람회, 전람회, 설명, 해설
terbentang	펼쳐 진, 전개된, 확장된
bentan-alam	풍경, 경치, 조망, 전망
bentangur	나무의 일종 (해안가에서 자람)
bentar, sebentar	잠깐, 잠시 동안, 조만간
sebentar-sebentar	자주, 종종, 재차, 번번히
sebentar sekali, terlalu singkat	아주 잠시
bentar [béntar], berbentar	돌다, 회전하다, (길이)갈라지다
membentari	선회하다
bentara	전달자, 전령관, 왕의 사자, 하사관
bentaus	뿌리 식물의 일종
benteh [béntéh], membenteh	정강이를 차다, 딴죽 걸다, 걸려 넘어지게 하다
benteng [bénténg]	요새, 방어물
benter, berbenter-bente	회전하다, 선회(旋回)하다
benterok	충돌하다, 부딪치다
bentet [bentét]	갈라진 금, 틈, 깨진, 부스러진
bentil	유두(乳頭), 젖꼭지
bentoh [béntoh], bantah bentoh	다툼, 싸움
bentok, kebentok	~에 부닥치다
bentong	큰 얼룩, 큰 오점, 반점(斑點
bentrok, bentrokan	충돌하다, 부딪치다
(per)benrtengan	요새 구축, 참호 구축
bentengan	벽(壁)
bentrokan	~와 충돌하다, 다툼, 싸움
berbenteng	요새화 된, 요새로 사용하다
membenrtengi	~를 요새로 하다
membentrokkan	들이받다, 충돌을 일으키다, 다투게 만들다
perbentrokan	싸움, 다툼, 투쟁, 논쟁, 충돌
pembentrokan	싸움, 전투, 투쟁
bentuk, antuk	형상, 형태, 둥그런 물체를 세는 수량 사
bentuk badan lainnya	(법인)법인 형태 회사
bentuk usaha tetap	(법인)확실한 회사 형태의 회사
bentukan	모양, 형상, 외형
membentuk	형성하다, 만들다
pembentuk	구성자, 설립자, 구성하는 것
pembentukan	형성, 설립, 설치
sebentuk cincin	반지 한 개
bentur, berbunturan	충돌하다, 부딪히다
benturan	충돌, 부딪침, 휘다, 굽다
kebentur	~을 들이받다, 실패하다, 실수하다
membenturkan	충돌시키다
terbentur	~와 충돌되다, 실패하다
benua	대륙, 육지, 본토
benur	튀김용 작은 새우
benyai [1]	부드러운, 유연한, 폭신한, 매끄러운
benyai [2]	무력한, 무기력한, 허약한
bera	짙은 적색
berabe	폐, 성가심, 귀찮음, 불쾌, 지겨운
berahi	사랑에 빠진, 열렬한, 열정, 격정
keberahian	정열, 열정
memberahikan	매혹시키다, 황홀케 하다
berai, cerai berai	흩어진, 산만한
memberai-beraikan	(소문·보도 따위를)퍼뜨리다, 유포하다
berak, terberak	진구렁에 빠뜨리다(빠지다), 진흙으로 더럽히다(더러워지다) 곤경에 몰아넣다(몰리다)mired
berak [bérak]	배설물, 대변
berak air	물변
berak darah	혈변
berak lendir	점액변
berberak, memberak	배변하다
memberaki	~에 배설하다
terberak	(모르는 사이에) 용변을 지린, 용변을 보고 싶은
berak-berok	날카롭게 소리 지르다, 비명을 지르다
berakah	건방진, 거만한
beram	(발리 지방의) 술
berambang	양파
beranda	베란다, 툇마루, 승강장
berandal	악한, 치한, 도적
keberandalan	나쁜 짓, 악행, 극악, 악랄, 무뢰
memberadal	악한이 되다, 악한 행동을 하다
berandang	현저한, 뚜렷한, 인상적인
berang [bérang]	화난, 격분한
memberang	노하여 펄쩍 뛰는, 격노한
memberangi	~에게 화를 내다
pemberang	성급한 사람
berangan [1]	[화학] 비소(砒素)(양쪽성 금속 원소, 기호
berangan [2], sarangan	열대(지방)의 밤나무
berang-angan	꿈에 그리다, 공상에 빠지다
berang-berang [1]	수달, 수달피, 낚시 도구의 일종(담수용)
berang-berang [2]	쥐약
berangas	[어패류] 조개 삿갓, 굴 등
berangasan	성미 급한, 격하기 쉬운
berangsang, memberangsang	화를 벌컥 내다
memberangsangkan	화를 내게 만들다
pemberangsang	화를 잘 내는 사람, 성급한 사람
berangguk	끄덕이다, 끄덕하고 인사하다
berangta, berangti	사랑에 빠진, 열정에 사로잡힌, 홀린
berangus, barangus	입 마개, 재갈, 굴레, 속박
memberangus	재갈을 물리다, 말을 못하게 하다
pemberangusan	검열 (계획, 제도)
pemberangusan pers	언론 탄압
berani	용감한, 대담한
keberanian	용감, 용기, 의협, 담력
keberani-beranian	용감한 행동
memberanikan	용기를 복 돋우다
pemberani	용기 있는 사람, 용감한 사람
beranjak	움직이다, 옮기다
beranjangsana	지역을 돌아다니다, 순회하다
beranta	사랑에 빠진, 열정에 사로잡힌, 홀린
berantakan	혼란(혼돈) 상태에 빠진, 뒤죽박죽의
keberantakan	무질서, 어지러움, 혼란
berantas, memberantas	(~와 대항하여)싸우다, 퇴치하다, 쓸어 버리다
pemberantas	퇴치하는 사람(주체), 제거제
pemberantasan	퇴치, 제거, 방제
berantuk	~와(과) 접촉하다
berapa	얼마, 몇(가격·수)
beberapa	몇몇의, 약간의
seberapa	~만큼 많이
tidak seberapa	많지 않는, 별로 ~하지 않는
berarakan	흩어져 있는, 너저분하게 펼쳐 있는
beras	쌀
beras basah/lembab	아무 쓸모 없는
beras cerah/sosoh	정미한 쌀
beras giling	도정한 쌀
beras kepala	가장 좋은 쌀(일등미)
beras ketan/pulut	찹쌀
beras meja	백미
beras patah	싸라기
beras tumbuk	잘게 부순 쌀
beras yang keras	현미(玄米)
bsres sosoh	정미한 쌀
induk beras	처, 아내
beras-beras	(북소리 같은 소리를 내는) 민어 과의 물고기
Brasil	브라질(연방 공화국), 수도:
berat	무거운, 심각한, 어려운
berat badan	체중, 몸무게
beratnya	중량, 무게
berkeberatan	이의가 있는, 곤란한, 반대하는
keberatan	과중하게 짐을 실은, 부과된
keberatsebelahan	무게, 중량, 체중
memberat	짐을 싣다, 압박하다
memberati	(무게로) 내리누르다, 힘주어 구부리다[누르다]
sangat berat	매우 무거운
memberatkan	무겁게 하다, 가중하다
Mobil grobak itu rupanya	keberatan(트럭에 짐을 너무 많이 실은 것 같다)
pemberat	밸러스트, (기구·비행선의 부력(浮力) 조정용) 모래ballast
pemberatan	악화[격화]시키는 것
bercak	마마 자국이 있는
bercokok	작은 악어, 악한
berdikari, (berdiri di atas kaki	sendiri)자립하는
berdir	심벌(악기의 일종)
berdus	살찐, 뚱뚱한
beredel [berédél], bredel	검열
berek-berek [berék-berék]	새의 일종(벌을 먹고 삶)
bereman	끝머리, 테두리, 가장자리, 변두리, 모서리
beremban	가름보
berembang	나무의 일종(해변에서 주로 자람)
berendeng [beréndéng]	한 줄로, 연속적으로
brendi [bréndi]	브랜디, 화주(火酒)
bereng-bereng [beréng-beréng]	큰 놋대야
berenga	구더기, 변덕, 공상
berengos	콧수염
berengut, memberengut	(심술궂게)뿌루퉁한, 퉁명스러운
berentang[beréntang]	memberentang달아나려고 갑자기 세게 당기다
berenti	멈추다
bereo [beréo]	털이 많은, 텁수룩한
berot [bérot]	무리 지어, 떼 지어
beres [1][bérés]	매우 추운
beres [2][bérés], rapi	정리된, 끝난, 잘된
Pikirannya kurang beres	(그의 생각은 정리가 잘 안돼 있다)
Semua pekerjaannya tanggung beres	(그의 모든 일은 잘 됐다)
Sedah beres	이미 끝났다(해결되었다)
keberesan	정리, 정돈, 단정
ketidakberesan	(~이) 적합하지 않은, 형편이 나쁜
membereskan	해결하다, 정리하다
pemberesan	(빛, 다툼 따위의)해결, 정리
tidak beres	정리가 안된
beresok [berésok], beresuk, esok	다음 날, 내일
beret [1][bérét]	긁힌, 새겨 진
beret [2][bérét]	무척 힘이 드는, 까다로운, 엄격한
bergajul	행실이 나쁜 사람, 악당, 깡패, 불한당
bergas	강력한, 튼튼한, 정력적인
bergedel [bergedél]	고기 완자
berguk	(기도할 때 쓰는 여자용) 베일
berhala	우상, 신상(神像)
keberhalaan	우상숭배, 사신(邪神) 숭배
memberhalakan	우상화 하다
penyembahan berhala	우상을 숭배하다
berhana	적당한, 중간의
berekreasi	휴양, 오락, 레크리에이션
beri, memberi	주다, ~시키다, 제공하다
Ia memberi ijin	(그는 허락했다)
Ia memberi dia lari	(그는 그로 하여금 달아나게 하였다)
	(그는 거실 벽을 녹색으로 칠했다)
	(그는 나로 하여금 그 임무를 맡게 하려고 용기를 복돋웠다)
memberi hormat	존경하다
Ia memberi hormat kepada kawannya	(그는 그의 친구를 존경한다)
memberi ampun	용서하다, 면제하다
memberi contoh	~의 모범이 되다, ~의 좋은 예가 되다
memberi gelar	~라고 칭하다, ~에 제목을 붙이다
memberi ingat	경고하다
memberi isyarat	손짓[고갯짓, 몸짓]으로 부르다
memberi kesaksian	증명하다, 입증하다, 증언하다
memberi kesan	암시하다, 비추다, 시사하다,
memberi keterangan	(~에) 주를[주석]을 달다
memberi kuasa	(어음 따위에) 배서(背書)하다,
memberi leta	~를 경멸하다, 멸시하다
memberi makan	~에 자양분을 주다, 육성하다, 조성하다
memberi malu	~을 부끄럽게 하다, 창피를 주다
memberi nasehat	~에게 살짝 알리다, ~에게 비밀 정보를 제공하다tip
memberi petunjuk	이끌다, 인도[안내]하다, 데리고 가다
memberi puas	기쁘게 하다, 만족시키다
memberi reaksi	예절 바르게 행동하다
memberi simpanan	기탁자
memberi tanda	~에 귀표를 하다, 표(지)를 하다
memberi tekanan	~에 압력을 가하다
memberi tempat	피난 장소, 은신처, 대합실
memberi umpan	미끼, 먹이, 유혹(물)
memberikan	주다, 거저 주다, 드리다, 증여하다
Ia memberikan uangnya kepada adiknya	(그는 동생에게 돈을 주었다)
memberikan komentar	비평[논평]하다, 의견을 말하다
berian	증여, 선물
pemberi	주는 사람, 기증자, 시주(施主)
pemberi pekerjaan	공사 감독, 십장
pemberi suara	투표자, 선거인, 유권자
pemberian	증여, 선물, 분재, 대리
pemberian hormat	인사, 경례
pemberian kredit	신용의 연장
pemberian kuasa	권한 위임
pemberian minyak	윤활, 주유(注油), 급유, 마찰을 감소시킴
beri-beri [béri-béri], biri-biri	각기병(脚氣病)(비타민B부족으로 다리가 붐)
beri-beri basah	다리가 붓는 각기 병
beri-beri kering	다리가 붓지 않는 각기 병
berida	나이가 지긋한, 나이를 먹은
berik	쌍 돛대의 범선
berinda, seberinda	무리, 가족, 전체
bering-bering	큰 놋대야
beringas	거칠은, 야만의, 사나운
mata beringas	사나운 눈
beringin	무화과 나무 (인도 원산의 교목)
beringin sungsang	달에 비친 계수나무
beringis(an), memberingis(an)	이를 드러내고 웃다, 싱긋이 웃다
berisik	시끄러운, 떠들썩한, 소란
berita	소식, 계획, 보고, 공고, 발표
berita-berita selingan	속보(速報)
memberitakan	~을 전하다, ~을 알리다
pemberita	보도자, (뉴스의)특파원, 주재원
pemberitaan	공고, 발표, 통지, 전달, 통신
beritahu memberitahu	보고하다, ~에게 알리다
memberitahukan	소식을 전하다, 알리다, 발표하다
pemberitahuan	사전 경고, 예고, 예감, 징후, 전조
beritawan	보도자, 기자
berjuis	중산 계급의 시민, 부르주아 계급
berkas [1], berkasan	묶음, 꾸러미, 다발, 철
berkas cahaya	빛 줄기
memberkas	묶다, 동이다, 매다
seberkas kayu bakar	한 다발의 장작
terberkas	하나로 묶인, 연합된
berkas [2]	작은 기선
berkat, berkah	축복, 신의 은총[가호]
keberkatan	축복(의 말), 식전[식후]의 기도
memberkati	~에게 은총(축복)을 내리다
mengucap berkat	축사(祝辭)
pemberkatan	축복, 행운
berkik, burung berkik	도요새
berkp [bérkp]	(자전거용) 등, 랜턴
berlau, belau	청색
berlian	(세공 된) 다이아몬드
berlukar, belukar	덤불, 숲
bernas	(과일이) 탐스러운, 충만한
bernga	구더기
beroci	(인도 산) 비단의 일종
beroga, ayam beroga	감정, 뇌조, 당닭, 쇠물닭
berok	탈장, 헤르니아
berokat	비단, 능라(綾羅)
berondong[1], brondong	기름 없이 볶은 옥수수 낱알
berondong[2], memberondong	일제히 사격하다, 퍼붓다
berondongan	일제 사격
pemberondonga	포격, 폭격, [물리] 충격
berong [bérong]	꼬인, 뒤틀인
berontak, memberontak	모반하다, 반역하다
pemberontak	반역자, 모반자
pemberontakan	모반, 반란, 폭동
berpose, sikap	품행, 태도, 몸가짐
Budi bersikap sopan pada orang tua	(부디의 품행은 어른에게 공손하다)
bersih	깨끗한, 청결한
Jagalah kebersihan	청결 유지
kebersihan	(공중) 위생, 청결(함)
kebersihan jiwa	제정신, 건전함, (육체적인) 건강
membersihkan	깨끗이 하다, 청소하다
pembersih	깨끗이 하는 사람, 세제(洗劑)
pembersihan	청소, 정리
bersil, membersil	(밀어)내다, 내밀다, 불쑥 나오다, 비어져 나오다
bersin	재채기 하다
bersit	돌출한, 돌기한
membersitkan	(칼·권총 따위를)뽑아들다, 갑자기 뽑다
bersut	시무룩해 보이는, 화난 것처럼 보이는
membersut	노려보다, 눈을 부릅뜨다
bertauh, unjuk bertauh	알리다, 공고하다
bertam	사고나무, 새의 일종
bertih	볶은 쌀
ber, anak beru	의붓자식
beruang	곰
beruas [1]	야생의 망고스틴
beruas [2], ruas	마디, 관절, 접합
berdus	올챙이
beruju, bungsu	막내
berujul	작은 보습(쟁기)
beruk	원숭이의 일종
berumbun, terberumbun	어렵풋이 나타나다, 흐릿하게 보이다
berumbung [1]	관, 튜우브, 실린더
berumbung [2]	중대가리 나무의 일종
berungut, memberungut	불평하다, 투덜거리다
beruntun, tuntun	줄지어
beruntung	이익을 얻다
beruntusan	여드름, 뾰루지
berus, sikat	솔, 브러쉬
memberus	솔질하다
berwari	그래서, 그리하여
besan [bésan]	사돈
besar(bes)	큰, 커다란, 성숙한, 성년의, 거만한
besaran	큰, 커진, 성장한
besar-besaran	큰, 커다란, 성숙한, 성년의, 대규모
besarnya	(길이·규모·수량) 크기, 양
kebesaran	큼, 화려, 장관(壯觀), 중요 인물
membesar	크게 하다(되다), 부풀리다
membesar-besarkan	~을 과장하다
membesarkan	과장하다, 증대시키다, 크게 하다
memperbesar	늘리다, 확장하다
orang besar	지위가 높은 사람
orang yang besar	체구가 큰 사람
pembesar	공무원, 당국, 거물, 주요 인물
Pembesar-pembesar	으뜸 벼슬자들, 방백들
	(방백들이 무고히 나를 핍박하오나
pembesaran	팽창, 신장, 확장, 확대
sebesar-besarnya	가능한 한 크게
terbesar	최대의
besaran	뽕나무, 오디, 짙은 자주색
